,customer_id,timestamp,location
98,<__main__.Customer object at 0x7f1544dc0ee0>,07:21,entrance
99,<__main__.Customer object at 0x7f154680c400>,07:22,dairy
100,<__main__.Customer object at 0x7f1544dc1000>,07:22,dairy
101,<__main__.Customer object at 0x7f1544dc0130>,07:22,dairy
102,<__main__.Customer object at 0x7f1544dc0160>,07:22,dairy
103,<__main__.Customer object at 0x7f1544dc01f0>,07:22,dairy
104,<__main__.Customer object at 0x7f1544dc0ee0>,07:22,drinks
105,<__main__.Customer object at 0x7f1544dc11b0>,07:22,entrance
106,<__main__.Customer object at 0x7f154680c400>,07:23,dairy
107,<__main__.Customer object at 0x7f1544dc1000>,07:23,dairy
108,<__main__.Customer object at 0x7f1544dc0130>,07:23,dairy
109,<__main__.Customer object at 0x7f1544dc0160>,07:23,dairy
110,<__main__.Customer object at 0x7f1544dc01f0>,07:23,dairy
111,<__main__.Customer object at 0x7f1544dc11b0>,07:23,entrance
112,<__main__.Customer object at 0x7f1544f6bb50>,07:23,entrance
113,<__main__.Customer object at 0x7f154680c400>,07:24,dairy
114,<__main__.Customer object at 0x7f1544dc1000>,07:24,dairy
115,<__main__.Customer object at 0x7f1544dc0130>,07:24,dairy
116,<__main__.Customer object at 0x7f1544dc0160>,07:24,dairy
117,<__main__.Customer object at 0x7f1544dc01f0>,07:24,drinks
118,<__main__.Customer object at 0x7f1544dc11b0>,07:24,fruit
119,<__main__.Customer object at 0x7f1544f6bb50>,07:24,fruit
120,<__main__.Customer object at 0x7f1544f6bb20>,07:24,entrance
121,<__main__.Customer object at 0x7f154680c400>,07:25,dairy
122,<__main__.Customer object at 0x7f1544dc1000>,07:25,dairy
123,<__main__.Customer object at 0x7f1544dc0130>,07:25,dairy
124,<__main__.Customer object at 0x7f1544dc0160>,07:25,dairy
125,<__main__.Customer object at 0x7f1544dc11b0>,07:25,fruit
126,<__main__.Customer object at 0x7f1544f6bb50>,07:25,fruit
127,<__main__.Customer object at 0x7f1544f6bb20>,07:25,dairy
128,<__main__.Customer object at 0x7f15468372b0>,07:25,entrance
129,<__main__.Customer object at 0x7f154680c400>,07:26,dairy
130,<__main__.Customer object at 0x7f1544dc1000>,07:26,dairy
131,<__main__.Customer object at 0x7f1544dc0130>,07:26,dairy
132,<__main__.Customer object at 0x7f1544dc0160>,07:26,spices
133,<__main__.Customer object at 0x7f1544dc11b0>,07:26,dairy
134,<__main__.Customer object at 0x7f1544f6bb50>,07:26,fruit
135,<__main__.Customer object at 0x7f15468372b0>,07:26,entrance
136,<__main__.Customer object at 0x7f1544dc0d30>,07:26,entrance
137,<__main__.Customer object at 0x7f154680c400>,07:27,dairy
138,<__main__.Customer object at 0x7f1544dc1000>,07:27,drinks
139,<__main__.Customer object at 0x7f1544dc0130>,07:27,dairy
140,<__main__.Customer object at 0x7f1544dc0160>,07:27,drinks
141,<__main__.Customer object at 0x7f1544dc11b0>,07:27,dairy
142,<__main__.Customer object at 0x7f1544f6bb50>,07:27,dairy
143,<__main__.Customer object at 0x7f15468372b0>,07:27,fruit
144,<__main__.Customer object at 0x7f1544dc0d30>,07:27,fruit
145,<__main__.Customer object at 0x7f1544dc0100>,07:27,entrance
146,<__main__.Customer object at 0x7f1544dc1000>,07:28,drinks
147,<__main__.Customer object at 0x7f1544dc0130>,07:28,dairy
148,<__main__.Customer object at 0x7f1544dc0160>,07:28,spices
149,<__main__.Customer object at 0x7f1544dc11b0>,07:28,fruit
150,<__main__.Customer object at 0x7f1544f6bb50>,07:28,fruit
151,<__main__.Customer object at 0x7f15468372b0>,07:28,fruit
152,<__main__.Customer object at 0x7f1544dc0d30>,07:28,fruit
153,<__main__.Customer object at 0x7f1544dc0100>,07:28,dairy
154,<__main__.Customer object at 0x7f1546a91d80>,07:28,entrance
155,<__main__.Customer object at 0x7f1544dc1000>,07:29,spices
156,<__main__.Customer object at 0x7f1544dc0130>,07:29,dairy
157,<__main__.Customer object at 0x7f1544dc0160>,07:29,drinks
158,<__main__.Customer object at 0x7f1544dc11b0>,07:29,fruit
159,<__main__.Customer object at 0x7f1544f6bb50>,07:29,fruit
160,<__main__.Customer object at 0x7f1544dc0d30>,07:29,fruit
161,<__main__.Customer object at 0x7f1544dc0100>,07:29,dairy
162,<__main__.Customer object at 0x7f1546a91d80>,07:29,spices
163,<__main__.Customer object at 0x7f1546a93010>,07:29,entrance
164,<__main__.Customer object at 0x7f1544dc1000>,07:30,dairy
165,<__main__.Customer object at 0x7f1544dc0130>,07:30,drinks
166,<__main__.Customer object at 0x7f1544dc0160>,07:30,drinks
167,<__main__.Customer object at 0x7f1544dc11b0>,07:30,dairy
168,<__main__.Customer object at 0x7f1544f6bb50>,07:30,dairy
169,<__main__.Customer object at 0x7f1544dc0d30>,07:30,fruit
170,<__main__.Customer object at 0x7f1544dc0100>,07:30,dairy
171,<__main__.Customer object at 0x7f1546a91d80>,07:30,spices
172,<__main__.Customer object at 0x7f1546a93010>,07:30,fruit
173,<__main__.Customer object at 0x7f1546a938b0>,07:30,entrance
174,<__main__.Customer object at 0x7f1544dc1000>,07:31,dairy
175,<__main__.Customer object at 0x7f1544dc0130>,07:31,drinks
176,<__main__.Customer object at 0x7f1544dc0160>,07:31,drinks
177,<__main__.Customer object at 0x7f1544dc11b0>,07:31,dairy
178,<__main__.Customer object at 0x7f1544f6bb50>,07:31,dairy
179,<__main__.Customer object at 0x7f1544dc0100>,07:31,dairy
180,<__main__.Customer object at 0x7f1546a91d80>,07:31,dairy
181,<__main__.Customer object at 0x7f1546a93010>,07:31,fruit
182,<__main__.Customer object at 0x7f1546a938b0>,07:31,fruit
183,<__main__.Customer object at 0x7f1546a93d60>,07:31,entrance
184,<__main__.Customer object at 0x7f1544dc0130>,07:32,drinks
185,<__main__.Customer object at 0x7f1544dc11b0>,07:32,dairy
186,<__main__.Customer object at 0x7f1544f6bb50>,07:32,dairy
187,<__main__.Customer object at 0x7f1544dc0100>,07:32,dairy
188,<__main__.Customer object at 0x7f1546a91d80>,07:32,dairy
189,<__main__.Customer object at 0x7f1546a93010>,07:32,fruit
190,<__main__.Customer object at 0x7f1546a93d60>,07:32,entrance
191,<__main__.Customer object at 0x7f1544dc0f40>,07:32,entrance
192,<__main__.Customer object at 0x7f1544dc0130>,07:33,drinks
193,<__main__.Customer object at 0x7f1544dc11b0>,07:33,dairy
194,<__main__.Customer object at 0x7f1544f6bb50>,07:33,dairy
195,<__main__.Customer object at 0x7f1544dc0100>,07:33,drinks
196,<__main__.Customer object at 0x7f1546a91d80>,07:33,dairy
197,<__main__.Customer object at 0x7f1546a93010>,07:33,fruit
198,<__main__.Customer object at 0x7f1546a93d60>,07:33,fruit
199,<__main__.Customer object at 0x7f1544dc0f40>,07:33,spices
200,<__main__.Customer object at 0x7f1544dc0370>,07:33,entrance
201,<__main__.Customer object at 0x7f1544dc0130>,07:34,drinks
202,<__main__.Customer object at 0x7f1544dc11b0>,07:34,dairy
203,<__main__.Customer object at 0x7f1544f6bb50>,07:34,spices
204,<__main__.Customer object at 0x7f1546a91d80>,07:34,dairy
205,<__main__.Customer object at 0x7f1546a93010>,07:34,fruit
206,<__main__.Customer object at 0x7f1546a93d60>,07:34,fruit
207,<__main__.Customer object at 0x7f1544dc0f40>,07:34,dairy
208,<__main__.Customer object at 0x7f1544dc0370>,07:34,spices
