prev_location,checkout,dairy,drinks,fruit,spices
dairy,0.10296772737531032,0.7375874520424284,0.05833897540058677,0.04981945384788987,0.0512863913337847
drinks,0.2163724579333127,0.010942500258077836,0.5985341178899556,0.08743677093011253,0.08671415298854135
entrance,0.0,0.2866388027504382,0.15356613185924228,0.3780504247000135,0.18174464069030605
fruit,0.2017689331122167,0.09547500592276711,0.054963278843875855,0.5970938956013583,0.05069888651978204
spices,0.15046370322993285,0.1934761752478414,0.16309561880396548,0.0908218740006396,0.40214262871762074
